SR NO.,Player,Match,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
360,AM Moir,17,19,2650,441.4,82,1418,28,50.64,3.21,94.64,1,2
361,JV Coney,52,53,2835,0,135,966,27,35.77,2.04,105,0,0
362,GR Larsen,8,14,1967,327.5,109,689,24,28.7,2.1,81.95,0,0
363,GA Bartlett,10,18,1768,294.4,64,792,24,33,2.68,73.66,0,1
364,IG Butler,8,14,1368,228,37,884,24,36.83,3.87,57,1,1
365,MG Bracewell,8,16,1551,258.3,38,1003,24,41.79,3.88,64.62,1,0
366,MR Gillespie,5,8,868,144.4,24,631,22,28.68,4.36,39.45,1,3
367,SB Styris,29,36,1960,326.4,77,1015,20,50.75,3.1,98,0,0
368,SA Thomson,19,26,1990,331.4,74,953,19,50.15,2.87,104.73,0,0
369,GI Allott,10,16,2023,337.1,62,1111,19,58.47,3.29,106.47,1,0
370,DR O'Sullivan,11,15,2744,0,75,1224,18,68,2.67,152.44,0,1
371,HT Davis,5,9,1010,168.2,26,499,17,29.35,2.96,59.41,0,1
372,MB Owens,8,12,1074,179,42,585,17,34.41,3.26,63.17,2,0
373,HG Vivian,7,10,1311,218.3,44,633,17,37.23,2.89,77.11,1,0
374,EJ Gray,10,16,2076,346,87,886,17,52.11,2.56,122.11,0,0
375,CJ Drum,5,9,806,134.2,27,482,16,30.12,3.58,50.37,0,0
376,FT Badcock,7,9,1608,268,66,610,16,38.12,2.27,100.5,1,0
377,GO Rabone,12,14,1385,0,48,635,16,39.68,2.75,86.56,0,1
378,CJ Anderson,13,23,1302,217,34,659,16,41.18,3.03,81.37,0,0
379,PJ Petherick,6,10,1305,0,37,681,16,42.56,3.13,81.56,0,0
380,CZ Harris,23,29,2560,426.4,106,1170,16,73.12,2.74,160,0,0
381,WER Somerville,6,12,1466,244.2,34,724,15,48.26,2.96,97.73,1,0
382,BP Bracewell,6,11,1036,0,29,585,14,41.78,3.38,74,0,0
383,JDS Neesham,12,21,1076,179.2,18,675,14,48.21,3.76,76.85,0,0
384,MD Crowe,77,35,1377,229.3,52,676,14,48.28,2.94,98.35,0,0
385,GF Cresswell,3,4,650,108.2,30,292,13,22.46,2.69,50,0,1
386,DA Stirling,6,10,902,150.2,24,601,13,46.23,3.99,69.38,1,0
387,BM Tickner,3,6,635,105.5,10,435,12,36.25,4.11,52.91,1,0
388,RC Blunt,9,14,936,156,34,472,12,39.33,3.02,78,0,0
389,WE Merritt,6,9,936,156,10,617,12,51.41,3.95,78,1,0
390,BP Martin,5,9,1518,253,77,646,12,53.83,2.55,126.5,2,0
391,JTC Vaughan,6,8,1040,173.2,41,450,11,40.9,2.59,94.54,1,0
392,RP de Groen,5,7,1060,176.4,44,505,11,45.9,2.85,96.36,0,0
393,GWF Overton,3,4,729,91.1,23,258,9,28.66,2.12,81,0,0
394,DD Beard,4,7,806,134.2,37,302,9,33.55,2.24,89.55,0,0
395,MB Poore,14,11,788,0,24,367,9,40.77,2.79,87.55,0,0
396,KP Walmsley,3,6,774,129,26,391,9,43.44,3.03,86,0,0
397,BJ Arnel,6,11,1008,168,37,566,9,62.88,3.36,112,1,0
398,GD Phillips,3,3,264,44,6,131,8,16.37,2.97,33,1,0
399,GR Dickinson,3,6,451,75.1,13,245,8,30.62,3.25,56.37,0,0
400,MJ Guptill,47,18,428,71.2,8,298,8,37.25,4.17,53.5,0,0
401,CA Walsh,205,204,10822,1803.4,185,6918,227,30.47,3.83,47.67,6,1
402,CEL Ambrose,176,175,9353,1558.5,192,5429,225,24.12,3.48,41.56,6,4
403,DJ Bravo,164,150,6511,1085.1,38,5874,199,29.51,5.41,32.71,6,1
404,CL Hooper,227,203,9573,1595.3,53,6958,193,36.05,4.36,49.6,3,0
405,CH Gayle,298,197,7377,1229.3,38,5868,167,35.13,4.77,44.17,3,1
406,JO Holder,138,134,6402,1067,64,5878,159,36.96,5.5,40.26,5,2
407,MD Marshall,136,134,7175,1195.5,122,4233,157,26.96,3.53,45.7,6,0
408,J Garner,98,98,5330,888.2,141,2752,146,18.84,3.09,36.5,2,3
409,MA Holding,102,102,5473,912.1,99,3034,142,21.36,3.32,38.54,5,1
410,M Dillon,108,107,5480,913.2,70,4218,130,32.44,4.61,42.15,3,3
411,JE Taylor,90,88,4341,723.3,35,3780,128,29.53,5.22,33.91,3,1
412,KAJ Roach,95,93,4579,763.1,53,3885,125,31.08,5.09,36.63,3,3
413,IR Bishop,84,83,4332,722,49,3127,118,26.5,4.33,36.71,7,2
414,IVA Richards,187,131,5644,0,26,4228,118,35.83,4.49,47.83,1,2
415,R Rampaul,92,88,4033,672.1,33,3434,117,29.35,5.1,34.47,8,2
416,AS Joseph,66,65,3392,565.2,23,3054,108,28.27,5.4,31.4,4,1
417,WKM Benjamin,85,85,4442,740.2,58,3079,100,30.79,4.15,44.42,0,1
418,RA Harper,105,99,5175,862.3,47,3431,100,34.31,3.97,51.75,3,0
419,SP Narine,65,65,3540,590,35,2435,92,26.46,4.12,38.47,4,2
420,BP Patterson,59,58,3050,508.2,37,2206,90,24.51,4.33,33.88,1,1
421,MN Samuels,207,134,5091,848.3,23,4127,89,46.37,4.86,57.2,0,0
422,AME Roberts,56,56,3123,0,76,1771,87,20.35,3.4,35.89,2,1
423,PV Simmons,143,103,3880,646.4,38,2876,83,34.65,4.44,46.74,2,0
424,CD Collymore,84,80,4074,679,45,2924,83,35.22,4.3,49.08,1,1
425,DJG Sammy,126,119,4956,826,41,3851,81,47.54,4.66,61.18,1,0
426,AC Cummins,63,61,3143,523.5,23,2246,78,28.79,4.28,40.29,2,1
427,IDR Bradshaw,62,62,3172,528.4,38,2299,78,29.47,4.34,40.66,0,0
428,RD King,50,50,2603,433.5,41,1807,76,23.77,4.16,34.25,2,0
429,DBL Powell,55,55,2850,475,35,2239,71,31.53,4.71,40.14,2,0
430,AD Russell,56,55,2290,381.4,14,2229,70,31.84,5.84,32.71,5,0
431,DR Smith,105,73,2726,454.2,18,2285,61,37.45,5.02,44.68,3,1
432,FH Edwards,50,49,2138,356.2,23,1812,60,30.2,5.08,35.63,0,2
433,AJ Hosein,38,38,2090,348.2,12,1687,57,29.59,4.84,36.66,1,0
434,KA Pollard,123,82,2275,379.1,4,2161,55,39.29,5.69,41.36,0,0
435,SS Cottrell,38,36,1722,287,11,1685,52,32.4,5.87,33.11,2,1
436,VC Drakes,34,34,1640,273.2,22,1293,51,25.35,4.73,32.15,3,2
437,AR Nurse,54,49,2384,397.2,6,2125,49,43.36,5.34,48.65,2,0
438,NAM McLean,45,45,2120,353.2,18,1729,46,37.58,4.89,46.08,0,0
439,NO Miller,50,46,2125,354.1,16,1660,45,36.88,4.68,47.22,2,0
440,AH Gray,25,24,1270,211.4,16,835,44,18.97,3.94,28.86,2,1
441,JC Adams,127,56,1856,309.2,12,1499,43,34.86,4.84,43.16,0,1
442,CR Brathwaite,44,40,1825,304.1,11,1766,43,41.06,5.8,42.44,2,1
443,KLT Arthurton,105,44,1384,230.4,4,1159,42,27.59,5.02,32.95,3,0
444,HA Gomes,83,36,1345,224.1,10,1045,41,25.48,4.66,32.8,2,0
445,CE Cuffy,41,41,2153,358.5,41,1436,41,35.02,4,52.51,1,0
446,PT Collins,30,30,1577,262.5,18,1212,39,31.07,4.61,40.43,0,1
447,WW Davis,35,35,1923,320.3,31,1302,39,33.38,4.06,49.3,0,1
448,SJ Benn,47,46,2387,397.5,15,1913,39,49.05,4.8,61.2,3,0
449,D Bishoo,42,40,2022,337,8,1668,38,43.89,4.94,53.21,0,0
450,EAE Baptiste,43,43,2214,369,30,1511,36,41.97,4.09,61.5,0,0
451,OD Gibson,15,15,739,123.1,8,621,34,18.26,5.04,21.73,2,2
452,TL Best,26,26,1300,216.4,9,1157,34,34.02,5.34,38.23,2,0
453,KMA Paul,30,29,1253,208.5,4,1238,34,36.41,5.92,36.85,0,0
454,KCG Benjamin,26,26,1319,219.5,12,923,33,27.96,4.19,39.96,0,0
455,ST Gabriel,25,25,1148,191.2,6,1134,33,34.36,5.92,34.78,0,0
456,CEH Croft,19,19,1070,178.2,21,620,30,20.66,3.47,35.66,0,1
457,O Thomas,22,21,861,143.3,1,954,29,32.89,6.64,29.68,1,1
458,FA Rose,27,27,1326,221,13,1046,29,36.06,4.73,45.72,0,1
459,WW Hinds,119,34,945,157.3,3,837,28,29.89,5.31,33.75,0,0
460,HR Walsh,21,21,982,163.4,1,882,28,31.5,5.38,35.07,1,1
461,RL Chase,42,35,1457,242.5,6,1184,27,43.85,4.87,53.96,0,0
462,R Shepherd,28,27,1098,183,6,1019,25,40.76,5.56,43.92,0,0
463,WW Daniel,18,18,912,152,17,595,23,25.86,3.91,39.65,0,0
464,RN Lewis,28,25,1150,191.4,2,983,22,44.68,5.12,52.27,0,0
465,NO Perry,21,21,946,157.4,2,783,20,39.15,4.96,47.3,0,0
466,VA Holder,12,12,681,0,9,454,19,23.89,4,35.84,0,1
467,G Motie,10,10,535,89.1,5,340,18,18.88,3.81,29.72,1,0
468,BD Julien,12,12,778,0,21,463,18,25.72,3.57,43.22,2,0
469,LR Williams,15,15,659,109.5,2,556,18,30.88,5.06,36.61,0,0
470,MV Nagamootoo,24,24,1189,198.1,4,998,18,55.44,5.03,66.05,1,0
471,JJC Lawson,13,12,558,93,5,498,17,29.29,5.35,32.82,1,0
472,RR Sarwan,181,25,581,96.5,3,586,16,36.62,6.05,36.31,0,0
473,NC McGarrell,17,17,859,143.1,2,681,15,45.4,4.75,57.26,0,0
474,DE Bernard,20,17,624,104,5,526,14,37.57,5.05,44.57,0,0
475,KR Mayers,28,23,686,114.2,3,632,14,45.14,5.52,49,0,0
476,S Chanderpaul,268,28,740,123.2,0,636,14,45.42,5.15,52.85,0,0
477,ST Clarke,10,10,524,87.2,13,245,13,18.84,2.8,40.3,0,0
478,KD Boyce,8,8,470,0,4,313,13,24.07,3.99,36.15,1,0
479,Y Cariah,14,14,597,99.3,1,622,13,47.84,6.25,45.92,0,0
480,HR Bryan,15,15,722,120.2,5,518,12,43.16,4.3,60.16,1,0
481,DR Parry,6,6,330,55,2,259,11,23.54,4.7,30,0,0
482,K Sinclair,7,7,381,63.3,1,282,11,25.63,4.44,34.63,2,0
483,A Martin,9,9,444,74,5,296,11,26.9,4,40.36,1,0
484,LS Baker,10,9,426,71,6,355,11,32.27,5,38.72,0,0
485,RL Powell,109,25,473,78.5,3,491,11,44.63,6.22,43,0,0
486,CL King,18,15,744,124,7,529,11,48.09,4.26,67.63,1,0
487,R Dhanraj,6,5,264,44,2,170,10,17,3.86,26.4,1,0
488,D Mohammed,7,6,353,58.5,5,235,10,23.5,3.99,35.3,0,0
489,OF Smith,9,9,283,47.1,0,261,10,26.1,5.53,28.3,0,0
490,KOK Williams,8,7,330,55,0,293,9,32.55,5.32,36.66,1,0
491,ML Cummins,11,9,450,75,3,474,9,52.66,6.32,50,0,0
492,SL Campbell,90,8,196,32.4,0,170,8,21.25,5.2,24.5,1,0
493,CEL Stuart,5,5,258,43,3,205,8,25.62,4.76,32.25,0,1
494,CH Lloyd,87,10,358,0,7,210,8,26.25,3.51,44.75,0,0
495,V Permaul,7,7,331,55.1,0,271,8,33.87,4.91,41.37,0,0
496,JN Mohammed,36,16,440,73.2,2,340,8,42.5,4.63,55,0,0
497,OAC Banks,5,5,270,45,1,189,7,27,4.2,38.57,0,0
498,EA Moseley,9,8,330,55,2,278,7,39.71,5.05,47.14,0,0
499,FA Allen,20,18,666,111,0,627,7,89.57,5.64,95.14,0,0
500,RA Reifer,6,5,161,26.5,0,149,6,24.83,5.55,26.83,0,0
501,Rashid Khan,103,98,5300,883.2,32,3748,183,20.48,4.24,28.96,6,4
502,Mohammad Nabi,156,151,7314,1219,47,5229,162,32.27,4.28,45.14,4,0
503,Dawlat Zadran,82,80,3769,628.1,42,3423,115,29.76,5.44,32.77,3,0
504,Mujeeb Ur Rahman,75,74,3968,661.2,39,2863,101,28.34,4.32,39.28,3,1
505,Gulbadin Naib,79,73,2697,449.3,12,2452,72,34.05,5.45,37.45,3,1
506,Hamid Hassan,38,37,1734,289,24,1330,59,22.54,4.6,29.38,2,1
507,Mirwais Ashraf,46,45,2009,334.5,25,1360,46,29.56,4.06,43.67,1,0
508,Samiullah Shinwari,84,65,2111,351.5,10,1729,46,37.58,4.91,45.89,1,0
509,Shapoor Zadran,44,44,1983,330.3,34,1589,43,36.95,4.8,46.11,2,0
510,Aftab Alam,27,27,1257,209.3,14,1033,41,25.19,4.93,30.65,1,0
511,Amir Hamza,31,31,1552,258.4,22,1016,40,25.4,3.92,38.8,1,0
512,Fazalhaq Farooqi,27,27,1188,198,12,1108,38,29.15,5.59,31.26,3,0
513,Naveen-ul-Haq,15,15,691,115.1,2,708,22,32.18,6.14,31.4,1,0
514,Fareed Ahmad,15,14,612,102,4,525,21,25,5.14,29.14,0,0
515,Rahmat Shah,106,29,543,90.3,2,532,15,35.46,5.87,36.2,0,1
516,Sharafuddin Ashraf,19,19,848,141.2,4,605,13,46.53,4.28,65.23,0,0
517,Azmatullah Omarzai,22,22,658,109.4,2,624,13,48,5.68,50.61,0,0
518,Khaliq Dad,6,6,252,42,4,150,9,16.66,3.57,28,0,0
519,Javed Ahmadi,47,19,452,75.2,0,363,9,40.33,4.81,50.22,1,0
520,Izatullah Dawlatzai,5,5,210,35,4,146,8,18.25,4.17,26.25,1,0
521,Nawroz Mangal,49,16,293,48.5,3,235,8,29.37,4.81,36.62,0,0
522,Yamin Ahmadzai,9,8,340,56.4,4,304,7,43.42,5.36,48.57,0,0
523,Noor Ahmad,7,7,354,59,1,338,7,48.28,5.72,50.57,0,0
524,Karim Sadiq,24,12,320,53.2,3,201,6,33.5,3.76,53.33,0,0
525,Qais Ahmad,1,1,46,7.4,0,32,3,10.66,4.17,15.33,0,0
526,Hasti Gul,2,2,114,19,1,73,3,24.33,3.84,38,0,0
527,Asghar Afghan,114,7,139,23.1,1,91,3,30.33,3.92,46.33,0,0
528,Rokhan Barakzai,1,1,60,10,1,45,2,22.5,4.5,30,0,0
529,Abdullah Mazari,2,2,96,16,1,49,2,24.5,3.06,48,0,0
530,Zahir Khan,1,1,60,10,0,55,2,27.5,5.5,30,0,0
531,Usman Ghani,17,2,38,6.2,0,34,1,34,5.36,38,0,0
532,Sayed Shirzad,2,1,48,8,0,56,1,56,7,48,0,0
533,Dawlat Ahmadzai,3,3,112,18.4,1,121,1,121,6.48,112,0,0
534,Abdul Rahman,3,3,104,17.2,0,133,1,133,7.67,104,0,0
535,SM Pollock,414,504,40026,6671,1531,19451,823,23.63,2.91,48.63,35,21
536,DW Steyn,263,340,25818,4303,732,16297,697,23.38,3.78,37.04,33,29
537,M Ntini,283,370,29671,4945.1,882,18041,661,27.29,3.64,44.88,27,22
538,AA Donald,236,291,24080,4013.2,762,13270,602,22.04,3.3,40,22,22
539,JH Kallis,513,568,31086,5181,924,18398,572,32.16,3.55,54.34,10,7
540,M Morkel,241,312,22958,3826.2,653,14242,535,26.62,3.72,42.91,27,10
541,K Rabada,219,267,17794,2965.4,439,12513,506,24.72,4.21,35.16,20,16
542,Imran Tahir,162,176,10251,1708.3,124,7450,291,25.6,4.36,35.22,10,7
543,L Klusener,220,248,14223,2370.3,364,8784,272,32.29,3.7,52.29,3,7
544,VD Philander,101,153,12753,2125.3,527,6100,269,22.67,2.86,47.4,10,13
545,KA Maharaj,121,153,12336,2056,313,7412,237,31.27,3.6,52.05,6,9
546,A Nel,117,147,11479,1913.1,338,6896,231,29.85,3.6,49.69,7,4
547,L Ngidi,114,126,5755,959.1,120,4944,202,24.47,5.15,28.49,7,5
548,N Boje,157,179,13101,2183.3,314,7643,196,38.99,3.5,66.84,11,4
549,PS de Villiers,101,116,9227,1537.5,307,4699,180,26.1,3.05,51.26,8,5
550,WD Parnell,135,134,4874,812.2,38,4937,173,28.53,6.07,28.17,5,3
551,HJ Tayfield,37,61,13568,0,602,4405,170,25.91,1.94,79.81,5,14
552,PR Adams,69,99,9959,1659.5,346,5220,163,32.02,3.14,61.09,5,4
553,WJ Cronje,256,238,9157,1526.1,276,5254,157,33.46,3.44,58.32,1,1
554,T Shamsi,118,117,4372,728.4,19,4294,156,27.52,5.89,28.02,5,2
555,AL Phehlukwayo,122,118,3951,658.3,26,4069,147,27.68,6.17,26.87,4,0
556,BM McMillan,116,139,9671,1611.5,288,5126,145,35.35,3.18,66.69,3,0
557,A Nortje,72,83,4686,781,85,3594,144,24.95,4.6,32.54,6,4
558,AJ Hall,111,118,6390,1065,125,4192,143,29.31,3.93,44.68,3,1
559,RJ Peterson,115,120,6152,1025.2,101,4547,137,33.18,4.43,44.9,4,1
560,CK Langeveldt,87,90,4686,781,56,3796,133,28.54,4.86,35.23,2,3
561,JP Duminy,326,233,6679,1113.1,57,5343,132,40.47,4.79,50.59,3,0
562,CR Matthews,74,88,6983,1163.5,284,3477,131,26.54,2.98,53.3,4,2
563,J Botha,121,122,5494,915.4,41,4212,126,33.42,4.59,43.6,2,0
564,TL Goddard,41,75,11736,0,706,3226,123,26.22,1.64,95.41,2,5
565,LL Tsotsobe,89,92,4302,717,81,3336,121,27.57,4.65,35.55,7,0
566,PM Pollock,28,52,6522,0,270,2806,116,24.18,2.58,56.22,1,9
567,PL Symcox,100,114,7552,1258.4,160,4365,109,40.04,3.46,69.28,2,0
568,PL Harris,40,66,8989,1498.1,340,3984,106,37.58,2.65,84.8,3,3
569,NAT Adcock,26,46,6391,0,218,2195,104,21.1,2.06,61.45,5,5
570,KJ Abbott,60,69,3820,636.4,108,2516,99,25.41,3.95,38.58,2,3
571,R McLaren,68,67,2930,488.2,21,2596,97,26.76,5.31,30.2,5,1
572,CH Morris,69,71,3015,502.3,28,2912,94,30.97,5.79,32.07,3,0
573,M Jansen,40,49,3146,524.2,67,2429,90,26.98,4.63,34.95,4,2
574,CL Vincent,25,40,5851,975.1,194,2631,84,31.32,2.69,69.65,5,3
575,GA Faulkner,25,43,4227,704.3,124,2180,82,26.58,3.09,51.54,4,4
576,D Pretorius,60,59,2128,354.4,31,1895,77,24.61,5.34,27.63,1,1
577,M Hayward,37,50,3814,635.4,95,2467,75,32.89,3.88,50.85,2,1
578,JA Morkel,107,98,2816,469.2,19,2782,74,37.59,5.92,38.05,2,0
579,AEE Vogler,15,28,2764,460.4,96,1455,64,22.73,3.15,43.18,3,5
580,JH Sinclair,25,41,3598,0,110,1996,63,31.68,3.32,57.11,4,1
581,RP Snell,47,51,3120,520,67,2112,63,33.52,4.06,49.52,4,1
582,D Olivier,17,29,2202,367,61,1418,62,22.87,3.86,35.51,1,3
583,JM Blanckenberg,18,25,3888,648,132,1817,60,30.28,2.8,64.8,1,4
584,PS Heine,14,27,3890,0,106,1455,58,25.08,2.24,67.06,2,4
585,R Telemachus,40,40,1990,331.4,23,1655,58,28.53,4.98,34.31,1,0
586,NBF Mann,19,33,5796,0,260,1920,58,33.1,1.98,99.93,5,1
587,S Elworthy,43,45,2569,428.1,64,1679,57,29.45,3.92,45.07,2,0
588,RO Schwarz,20,31,2639,439.5,66,1417,55,25.76,3.22,47.98,4,2
589,AMB Rowan,15,25,5193,0,136,2084,54,38.59,2.4,96.16,2,4
590,EP Nupen,17,31,4159,693.1,133,1788,50,35.76,2.57,83.18,1,5
591,CB Llewellyn,15,21,2292,0,55,1421,48,29.6,3.71,47.75,2,4
592,AJ Bell,16,26,3342,557,89,1567,48,32.64,2.81,69.62,1,4
593,G Coetzee,21,24,1112,185.2,9,1105,47,23.51,5.96,23.65,2,0
594,SJ Pegler,16,23,2989,498.1,84,1572,47,33.44,3.15,63.59,3,2
595,AM Phangiso,37,37,1427,237.5,6,1272,46,27.65,5.34,31.02,0,0
596,JT Partridge,11,20,3684,0,136,1373,44,31.2,2.23,83.72,3,3
597,MJ Procter,7,14,1514,252.2,80,616,41,15.02,2.44,36.92,3,1
598,BE Hendricks,30,29,1026,171,7,1148,41,28,6.71,25.02,1,1
599,AW Nourse,45,57,3234,539,120,1553,41,37.87,2.88,78.87,2,0
600,AE Hall,7,14,2361,393.3,107,886,40,22.15,2.25,59.02,3,3
601,EJ Barlow,30,46,3021,0,115,1362,40,34.05,2.7,75.52,0,1
602,ACB Langton,15,23,4199,0,104,1827,40,45.67,2.61,104.97,4,1
603,SR Harmer,10,16,2105,350.5,68,1075,39,27.56,3.06,53.97,4,0
604,BN Schultz,10,15,1787,297.5,83,784,38,20.63,2.63,47.02,4,2
605,JM Kemp,91,53,1656,276,30,1142,38,30.05,4.13,43.57,0,0
606,PWA Mulder,32,40,1560,260,49,1027,36,28.52,3.95,43.33,0,0
607,Q McMillan,13,22,2021,336.5,38,1243,36,34.52,3.69,56.13,2,2
608,CN McCarthy,15,25,3499,0,64,1510,36,41.94,2.58,97.19,2,2
609,SJ Snooke,26,29,1620,270,62,702,35,20.05,2.6,46.28,1,1
610,NA Quinn,12,19,2922,487,103,1145,35,32.71,2.35,83.48,2,1
611,EO Simons,23,23,1212,202,21,810,33,24.54,4,36.72,1,0
612,D Wiese,26,26,686,114.2,0,813,33,24.63,7.11,20.78,0,1
613,RE van der Merwe,26,26,969,161.3,2,866,31,27.93,5.36,31.25,0,0
614,M Zondeki,18,23,1302,217,32,961,31,31,4.42,42,1,1
615,RK Kleinveldt,20,23,1302,217,28,1043,31,33.64,4.8,42,1,0
616,AK Markram,144,61,1352,225.2,8,1269,30,42.3,5.63,45.06,0,0
617,JC Watkins,15,27,2805,0,134,816,29,28.13,1.74,96.72,3,0
618,CW Henderson,11,16,2179,363.1,81,1060,29,36.55,2.91,75.13,3,0
619,GB Lawrence,5,9,1334,222.2,62,512,28,18.28,2.3,47.64,2,2
620,CP Carter,10,12,1475,245.5,47,694,28,24.78,2.82,52.67,0,2
621,GF Linde,19,21,851,141.5,18,664,27,24.59,4.68,31.51,1,1
622,MW Pringle,21,22,1522,253.4,33,874,27,32.37,3.44,56.37,1,0
623,B Mitchell,42,39,2525,0,26,1380,27,51.11,3.27,93.51,1,1
624,M de Lange,12,14,797,132.5,11,703,26,27.03,5.29,30.65,1,1
625,AC Dawson,21,23,1153,192.1,25,832,26,32,4.32,44.34,1,0
626,MG Melle,7,12,1667,0,20,851,26,32.73,3.06,64.11,1,2
627,AH McKinnon,8,15,2546,424.2,153,925,26,35.57,2.17,97.92,1,0
628,DL Piedt,9,15,1824,304,46,1175,26,45.19,3.86,70.15,3,1
629,GC Smith,345,83,2468,411.2,28,1893,26,72.8,4.6,94.92,0,0
630,GF Bissett,4,8,989,164.5,28,469,25,18.76,2.84,39.56,2,2
631,DN Crookes,32,30,1221,203.3,5,1011,25,40.44,4.96,48.84,0,0
632,J Theron,13,13,388,64.4,0,434,24,18.08,6.71,16.16,1,1
633,J Middleton,6,11,1064,0,61,442,24,18.41,2.49,44.33,2,2
634,DJ Terbrugge,11,17,1138,189.4,46,622,24,25.91,3.27,47.41,1,1
